ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance,SAT_LastBus,RoadName,Latitude,Longitude,Description,StopIndex
199,SBST,1,1,22009,0,2400,Jurong West Ctrl 3,1.33932334709184,103.70545701843297,Boon Lay Int,0
199,SBST,1,2,22489,0.9,0005,Jurong West Ctrl 1,1.34258460261,103.70536833792208,Blk 683A,1
199,SBST,1,3,21371,1.4,0007,Jln Boon Lay,1.34522722613512,103.70617873626036,Blk 680C,2
199,SBST,1,4,27091,1.9,0010,Jln Bahar,1.34910999998031,103.70388500000492,Opp Blk 271 CP,3
199,SBST,1,5,27101,2.4,0012,Jln Bahar,1.35259472200365,103.70111638902962,Opp Westwood Sec Sch,4
199,SBST,1,6,27121,3.1,0014,Jln Bahar,1.35682305601032,103.69521277798744,Bef Nanyang Ave,5
199,SBST,1,7,27171,3.5,0015,Nanyang Ave,1.35604565059158,103.6916825448322,Bef Lor Danau,6
199,SBST,1,8,27181,3.8,0016,Nanyang Ave,1.35587588807417,103.68903620638115,PUB Sub-Stn,7
199,SBST,1,9,27011,4.1,0017,Nanyang Cres,1.35586334559449,103.68610938870162,Blk 55,8
199,SBST,1,10,27071,4.4,0018,Nanyang Cres,1.35507533539502,103.68452767084537,Nanyang Crescent Hall,9
199,SBST,1,11,27021,4.7,0019,Nanyang Cres,1.35324138896679,103.68192916699402,Hall 15,10
199,SBST,1,12,27031,4.9,0020,Nanyang Cres,1.35186815681876,103.68051749839925,Hall 12,11
199,SBST,1,13,27041,5.1,0021,Nanyang Cres,1.35071936245692,103.67864247139183,CP 7,12
199,SBST,1,14,27051,5.5,0022,Nanyang Cres,1.34845333297072,103.67665805600423,NIE Lib,13
199,SBST,1,15,27219,6,0023,Nanyang Dr,1.34793269501118,103.68025240016884,Blk 2,14
199,SBST,1,16,27069,6.5,0024,Nanyang Dr,1.35008972199881,103.68418444402793,Blk 41,15
199,SBST,1,17,27209,6.8,0025,Nanyang Ave,1.35150701703353,103.68569234331088,Hall 8,16
199,SBST,1,18,27199,7.1,0026,Nanyang Ave,1.35434216792763,103.68685754938303,Hall 11,17
199,SBST,1,19,27189,7.4,0027,Nanyang Ave,1.35607204234326,103.68903921690323,Opp PUB Sub-Stn,18
199,SBST,1,20,27179,7.7,0028,Nanyang Ave,1.35618418171977,103.6917825773122,Aft Lor Danau,19
199,SBST,1,21,27169,8,0029,Nanyang Ave,1.35693103245165,103.69424464254188,Bef Jln Bahar,20
199,SBST,1,22,27129,8.3,0030,Jln Bahar,1.35733217246828,103.69516041986128,Opp Nanyang Ave,21
199,SBST,1,23,27109,8.9,0031,Jln Bahar,1.35309472199852,103.70082305601869,Westwood Sec Sch,22
199,SBST,1,24,27099,9.4,0032,Jln Bahar,1.35023689448473,103.70360999821403,Blk 271 CP,23
199,SBST,1,25,21379,10.1,0035,Jln Boon Lay,1.34534855216089,103.70648912988919,Blk 263,24
199,SBST,1,26,22481,10.5,0037,Jurong West Ctrl 1,1.3424622384747,103.70554089546958,Blk 691A CP,25
199,SBST,1,27,22009,11.1,0039,Jurong West Ctrl 3,1.33932334709184,103.70545701843297,Boon Lay Int,26
